Name,Long,Lat,state,url
西安,108.4,34.3,西安，古称长安、镐京，是陕西省会、副省级市、关中平原城市群核心城市，曾是古丝绸之路的起点，是“一带一路”核心区、中国西部地区重要的中心城市，是国家重要的科研、教育、工业基地。联合国教科文组织于1981年确定的“世界历史名城”。西安是中华文明和中华民族重要发祥地之一，历史上先后有十多个王朝在此建都。丰镐都城、秦阿房宫、兵马俑，汉未央宫、长乐宫，隋大兴城，唐大明宫、兴庆宫等勾勒出“长安情结”。,https://gss0.bdstatic.com/-4o3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike150%2C5%2C5%2C150%2C50/sign=a0fc85761bd8bc3ed2050e98e3e2cd7b/8694a4c27d1ed21bc2891ea9af6eddc451da3f3d.jpg
兰州,103.4,36,兰州，简称“兰”或“皋”，是甘肃省省会，中国西北地区重要的工业基地和综合交通枢纽，西部地区重要的中心城市之一，西陇海兰新经济带重要支点，西北地区重要的交通枢纽和物流中心，是新亚欧大陆桥中国段五大中心城市之一，是中国华东、华中地区联系西部地区的桥梁和纽带，西北的交通通信枢纽和科研教育中心，丝绸之路经济带的重要节点城市，也是中国人民解放军西部战区陆军机关驻地。,https://gss1.bdstatic.com/9vo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike180%2C5%2C5%2C180%2C60/sign=3617d5ab8c26cffc7d27b7e0d86821f5/03087bf40ad162d97381c12e1fdfa9ec8a13cd91.jpg
嘉峪关,98.17,39.47,嘉峪关，号称“天下第一雄关”，位于甘肃省嘉峪关市西5千米处最狭窄的山谷中部，城关两侧的城墙横穿沙漠戈壁，北连黑山悬壁长城，南接天下第一墩，是明长城最西端的关口，历史上曾被称为河西咽喉，因地势险要，建筑雄伟，有连陲锁钥之称。嘉峪关是古代“丝绸之路”的交通要塞，中国长城三大奇观之一（东有山海关、中有镇北台、西有嘉峪关）。,https://gss2.bdstatic.com/-fo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike116%2C5%2C5%2C116%2C38/sign=199ea8a1992f07084b082252884dd3fc/503d269759ee3d6dcbb33d2544166d224e4adee3.jpg
敦煌,92.13,39.53,敦煌是丝绸之路的节点城市，以“敦煌石窟”、“敦煌壁画”闻名天下，是世界遗产莫高窟和汉长城边陲玉门关、阳关的所在地。2012年，入选“2012年度中国特色魅力城市200强”，是国家历史文化名城。“两关遗迹、千佛灵岩、危峰东峙、党水北流、月泉晓彻、古城晚眺、绣壤春耕、沙岭晴鸣”，被称为“敦煌八景”。敦煌、平遥、凤凰古城、九寨沟与乌镇、丽江古城、水墨婺源和新疆布尔津白哈巴村共同评为蜜月必去中国最美的八个小镇。,https://gss1.bdstatic.com/9vo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike92%2C5%2C5%2C92%2C30/sign=a0efce75888ba61ecbe3c07d205dfc6f/86d6277f9e2f070839e2e2bfe324b899a801f2ae.jpg
吐鲁番,89.19,42.91,吐鲁番，新疆维吾尔自治区辖地级市，位于自治区中部，是天山东部的一个东西横置的形如橄榄状的山间盆地，四面环山，属于典型的大陆性暖温带荒漠气候。吐鲁番地理位置优越，地处亚欧大陆腹地，是乌鲁木齐的门户，是新丝绸之路和亚欧大陆桥的重要交通枢纽。,https://gss1.bdstatic.com/-vo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike116%2C5%2C5%2C116%2C38/sign=7da705e24534970a537e187df4a3baad/d788d43f8794a4c2a86a2ae60af41bd5ac6e39b6.jpg
乌鲁木齐,87.17,43.47,乌鲁木齐市，是新疆维吾尔自治区的4个地级市之一，新疆维吾尔自治区首府，市政府位于水磨沟区。是全疆政治、经济、文化、科教和交通中心。乌鲁木齐地处中国西北，新疆中部，天山北麓，亚欧大陆腹地，毗邻中亚各国，有“亚心之都”的称呼。乌鲁木齐市现已列入吉尼斯世界纪录大全，是世界上最内陆、距离海洋和海岸线最远的大型城市。,https://gss2.bdstatic.com/9fo3dSag_xI4khGkpoWK1HF6hhy/baike/crop%3D0%2C2%2C750%2C495%3Bc0%3Dbaike92%2C5%2C5%2C92%2C30/sign=9adf7450a04bd1131082ed72679f883d/1f178a82b9014a90a449d69ea4773912b31bee9a.jpg
伊利,81.32,43.92,伊犁哈萨克自治州，是新疆维吾尔自治区的5个自治州之一，驻地伊宁市。是中国唯一的既辖地级行政区、又辖县级行政区的自治州，地处新疆维吾尔自治区西部天山北部的伊犁河谷内，属温带大陆性气候。伊犁哈萨克自治州是新疆细毛羊、伊犁马、新疆褐牛、中国美利奴羊的主要培育和生产基地。,https://gss1.bdstatic.com/-vo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike92%2C5%2C5%2C92%2C30/sign=443fea6b3ac79f3d9becec62dbc8a674/63d9f2d3572c11df24ee10b7622762d0f703c263.jpg
阿斯塔纳,71.26,43.11,阿斯塔纳离原首都及该国最大城市东南部的阿拉木图直线距离约800公里，伊希姆河穿城南部而过，四季气候宜人，生态环境良好，是哈萨克斯坦工农业的主要生产基地、全国铁路交通枢纽。,https://gss3.bdstatic.com/7Po3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike92%2C5%2C5%2C92%2C30/sign=ae38bc0b3fdbb6fd3156ed74684dc07d/730e0cf3d7ca7bcbf5a4cfdfb8096b63f724a867.jpg
塔什干,69.18,41.2,塔什干是古“丝绸之路”上重要的商业枢纽之一，著名的“丝绸之路”便经过这里。我国古代的张骞、法显、玄奘都曾留下过足迹。属于温带大陆性气候，冬季温和，夏季炎热，降水稀少，日照充足。有“太阳城”之称。全市分11个区。市中心为乌兹别克斯坦和该市的行政机关所在地，并为商业和文化区。,https://gss2.bdstatic.com/9fo3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike92%2C5%2C5%2C92%2C30/sign=43507c3043c2d562e605d8bf8678fb8a/c995d143ad4bd1138998656256afa40f4bfb050d.jpg
索契,43.35,39.43,索契位于俄罗斯联邦克拉斯诺达尔边疆区与格鲁吉亚接界处、黑海沿岸，南北宽40-60公里，东西长145公里，是俄罗斯最狭长的城市，也是世界上最狭长的城市之一。,https://gss3.bdstatic.com/-Po3dSag_xI4khGkpoWK1HF6hhy/baike/c0%3Dbaike116%2C5%2C5%2C116%2C38/sign=8611e8e09a25bc313f5009ca3fb6e6d4/fc1f4134970a304e8efb9dd4d2c8a786c8175cc6.jpg
